Day;(All);;;;
;;;;;
Row Labels;Zon ;Consumptie ;Wind ;Nu;Fossiel
19/12/15 00:00;0;257,1661314;171,7075969;0;85,45853456
19/12/15 00:15;0;110,782;171,7075969;0;0
19/12/15 00:30;0;103,675;171,7075969;0;0
19/12/15 00:45;0;97,677;171,7075969;0;0
19/12/15 01:00;0;91,618;171,7075969;0;0
19/12/15 01:15;0;87,295;171,7075969;0;0
19/12/15 01:30;0;83,496;171,7075969;0;0
19/12/15 01:45;0;79,857;171,7075969;0;0
19/12/15 02:00;0;76,45;171,7075969;0;0
19/12/15 02:15;0;73,688;171,7075969;0;0
19/12/15 02:30;0;71,706;171,7075969;0;0
19/12/15 02:45;0;69,76;171,7075969;0;0
19/12/15 03:00;0;68,335;171,7075969;0;0
19/12/15 03:15;0;67,091;171,7075969;0;0
19/12/15 03:30;0;66,028;171,7075969;0;0
19/12/15 03:45;0;65,101;171,7075969;0;0
19/12/15 04:00;0;64,359;171,7075969;0;0
19/12/15 04:15;0;63,971;171,7075969;0;0
19/12/15 04:30;0;63,701;171,7075969;0;0
19/12/15 04:45;0;63,477;171,7075969;0;0
19/12/15 05:00;0;63,674;171,7075969;0;0
19/12/15 05:15;0;63,307;171,7075969;0;0
19/12/15 05:30;0;63,538;171,7075969;0;0
19/12/15 05:45;0;64,113;171,7075969;0;0
19/12/15 06:00;0;65,521;171,7075969;0;0
19/12/15 06:15;0;67,244;171,7075969;0;0
19/12/15 06:30;0;69,454;171,7075969;0;0
19/12/15 06:45;0;72,34;171,7075969;0;0
19/12/15 07:00;0;76,313;171,7075969;0;0
19/12/15 07:15;0;81,626;171,7075969;0;0
19/12/15 07:30;0;87,945;171,7075969;0;0
19/12/15 07:45;0;95,077;171,7075969;0;0
19/12/15 08:00;0;103,376;171,7075969;0;0
19/12/15 08:15;0;111,75;171,7075969;0;0
19/12/15 08:30;0;119,422;171,7075969;0;0
19/12/15 08:45;0;126,445;171,7075969;0;0
19/12/15 09:00;0;136,265;171,7075969;0;0
19/12/15 09:15;1,780176743;140,745;171,7075969;0;0
19/12/15 09:30;8,604187593;144,631;171,7075969;0;0
19/12/15 09:45;13,35132558;147,597;171,7075969;0;0
19/12/15 10:00;0;150,869;171,7075969;0;0
19/12/15 10:15;1,186784496;153,864;171,7075969;0;0
19/12/15 10:30;6,230618602;155,786;171,7075969;0;0
19/12/15 10:45;12,16454108;156,635;171,7075969;0;0
19/12/15 11:00;9,197579841;155,945;171,7075969;0;0
19/12/15 11:15;16,31828682;156,745;171,7075969;0;0
19/12/15 11:30;24,32908216;158,263;171,7075969;0;0
19/12/15 11:45;23,14229766;159,786;171,7075969;0;0
19/12/15 12:00;22,54890542;160,395;171,7075969;0;0
19/12/15 12:15;24,32908216;160,684;171,7075969;0;0
19/12/15 12:30;26,99934728;160,191;171,7075969;0;0
19/12/15 12:45;18,39515968;159,408;171,7075969;0;0
19/12/15 13:00;36,79031936;157,592;171,7075969;0;0
19/12/15 13:15;26,70265115;156,563;171,7075969;0;0
19/12/15 13:30;27,59273952;155,539;171,7075969;0;0
19/12/15 13:45;27,59273952;154,521;171,7075969;0;0
19/12/15 14:00;31,44978913;153,108;171,7075969;0;0
19/12/15 14:15;26,1092589;152,09;171,7075969;0;0
19/12/15 14:30;23,43899379;151,473;171,7075969;0;0
19/12/15 14:45;17,50507131;151,255;171,7075969;0;0
19/12/15 15:00;17,80176743;149,223;171,7075969;0;0
19/12/15 15:15;13,94471782;149,223;171,7075969;0;0
19/12/15 15:30;9,197579841;151,315;171,7075969;0;0
19/12/15 15:45;5,043834106;154,689;171,7075969;0;0
19/12/15 16:00;0,593392248;156,063;171,7075969;0;0
19/12/15 16:15;0;163,957;171,7075969;0;0
19/12/15 16:30;0;172,855;171,7075969;0;1,14740315
19/12/15 16:45;0;181,945;171,7075969;0;10,23740315
19/12/15 17:00;0;197,787;171,7075969;0;26,07940315
19/12/15 17:15;0;204,654;171,7075969;0;32,94640315
19/12/15 17:30;0;208,832;171,7075969;0;37,12440315
19/12/15 17:45;0;208,832;171,7075969;0;37,12440315
19/12/15 18:00;0;206,034;171,7075969;0;34,32640315
19/12/15 18:15;0;205,215;171,7075969;0;33,50740315
19/12/15 18:30;0;204,094;171,7075969;0;32,38640315
19/12/15 18:45;0;203,377;171,7075969;0;31,66940315
19/12/15 19:00;0;198,663;171,7075969;0;26,95540315
19/12/15 19:15;0;196,127;171,7075969;0;24,41940315
19/12/15 19:30;0;193,269;171,7075969;0;21,56140315
19/12/15 19:45;0;190,089;171,7075969;0;18,38140315
19/12/15 20:00;0;188,446;171,7075969;0;16,73840315
19/12/15 20:15;0;184,284;171,7075969;0;12,57640315
19/12/15 20:30;0;179,63;171,7075969;0;7,92240315
19/12/15 20:45;0;174,899;171,7075969;0;3,19140315
19/12/15 21:00;0;171,264;171,7075969;0;0
19/12/15 21:15;0;167,14;171,7075969;0;0
19/12/15 21:30;0;163,255;171,7075969;0;0
19/12/15 21:45;0;159,609;171,7075969;0;0
19/12/15 22:00;0;156,164;171,7075969;0;0
19/12/15 22:15;0;153,343;171,7075969;0;0
19/12/15 22:30;0;148,925;171,7075969;0;0
19/12/15 22:45;0;144,51;171,7075969;0;0
19/12/15 23:00;0;139,13;171,7075969;0;0
19/12/15 23:15;0;133,604;171,7075969;0;0
19/12/15 23:30;0;127,674;171,7075969;0;0
19/12/15 23:45;1,48348062;119,697;171,7075969;0;0
20/12/15 00:00;0;115,225;171,7075969;0;0
20/12/15 00:15;0;106,783;171,7075969;0;0
20/12/15 00:30;0;100,154;171,7075969;0;0
20/12/15 00:45;0;94,155;171,7075969;0;0
20/12/15 01:00;0;88,644;171,7075969;0;0
